sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
jasperreports;net.sf.jasperreports.charts.base.JRBasePieDataset;0;1;1;0;1;0;15;38;3;24;2;126;20;HetAgg
jasperreports;net.sf.jasperreports.charts.base.JRBasePiePlot;0;1;1;0;1;0;10;19;2;15;1;90;15;HetAgg
jasperreports;net.sf.jasperreports.charts.base.JRBaseScatterPlot;0;1;1;0;1;0;15;50;2;40;1;209;39;HetAgg
jasperreports;net.sf.jasperreports.charts.base.JRBaseThermometerPlot;0;1;1;0;2;0;13;29;2;16;1;102;15;HetAgg
jasperreports;net.sf.jasperreports.charts.base.JRBaseTimeSeriesPlot;0;1;1;0;1;0;15;50;2;39;1;209;39;HetAgg
jasperreports;net.sf.jasperreports.charts.design.JRDesignChartAxis;0;0;1;1;1;1;8;8;2;36;2;52;7;HetAgg
jasperreports;net.sf.jasperreports.charts.design.JRDesignPieDataset;1;0;1;0;1;0;13;44;4;24;2;168;28;HetAgg
jasperreports;net.sf.jasperreports.charts.fill.JRFillHighLowDataset;0;1;0;1;0;1;18;26;3;34;2;164;20;HetAgg
jasperreports;net.sf.jasperreports.charts.fill.JRFillPieDataset;0;1;1;0;1;0;19;55;3;48;3;162;23;HetAgg
jasperreports;net.sf.jasperreports.charts.util.ChartUtil;0;0;1;1;2;1;19;22;1;32;4;85;6;HetAgg
jasperreports;net.sf.jasperreports.compilers.JRBshGenerator;0;0;1;1;3;1;8;45;1;39;3;305;9;HetAgg
jasperreports;net.sf.jasperreports.compilers.JRGroovyGenerator;1;0;1;1;2;1;8;75;1;52;4;415;15;HetAgg
jasperreports;net.sf.jasperreports.components.barcode4j.AbstractBarcodeEvaluator;0;0;1;1;12;1;40;75;1;91;2;262;35;HetAgg
jasperreports;net.sf.jasperreports.components.barcode4j.BarcodeEvaluator;0;1;1;0;1;0;20;19;2;8;1;66;17;HetAgg
jasperreports;net.sf.jasperreports.components.spiderchart.SpiderChartDesignEvaluator;0;0;1;1;1;1;25;40;1;75;3;173;6;HetAgg
jasperreports;net.sf.jasperreports.components.spiderchart.StandardChartSettings;1;0;1;0;1;0;18;78;1;52;3;359;59;HetAgg
jasperreports;net.sf.jasperreports.components.table.fill.TableReport;1;0;1;1;1;1;64;109;12;91;5;669;78;HetAgg
jasperreports;net.sf.jasperreports.components.table.TableCompiler;0;0;1;1;4;1;25;65;1;62;6;376;12;HetAgg
jasperreports;net.sf.jasperreports.crosstabs.design.JRDesignCrosstab;1;1;1;1;8;1;47;226;3;146;5;868;97;HetAgg
jasperreports;net.sf.jasperreports.crosstabs.design.JRDesignCrosstabGroup;0;1;1;0;1;0;11;17;2;11;2;83;13;HetAgg
jasperreports;net.sf.jasperreports.crosstabs.fill.calculation.BucketingService;1;0;1;0;4;0;20;141;5;61;5;853;33;HetAgg
jasperreports;net.sf.jasperreports.engine.base.JRBaseBand;0;1;1;0;1;0;10;19;2;16;2;69;12;HetAgg
jasperreports;net.sf.jasperreports.engine.base.JRBaseObjectFactory;1;1;1;0;3;0;163;248;2;14;3;840;86;HetAgg
jasperreports;net.sf.jasperreports.engine.base.JRBasePrintImage;1;1;0;0;0;0;23;132;3;86;1;446;122;HetAgg
jasperreports;net.sf.jasperreports.engine.base.JRBasePrintText;1;1;1;0;4;0;29;231;2;142;3;757;201;HetAgg
jasperreports;net.sf.jasperreports.engine.base.JRBaseStyle;1;0;1;0;2;0;25;227;1;153;3;801;184;HetAgg
jasperreports;net.sf.jasperreports.engine.base.JRBaseTextElement;1;1;1;0;1;0;23;160;2;120;1;553;140;HetAgg
jasperreports;net.sf.jasperreports.engine.convert.ReportConverter;1;0;1;0;2;0;36;51;3;112;3;288;18;HetAgg
jasperreports;net.sf.jasperreports.engine.data.JRCsvDataSource;1;0;0;1;0;1;6;86;1;44;5;309;22;HetAgg
jasperreports;net.sf.jasperreports.engine.data.JRXmlDataSource;0;1;1;0;1;0;14;41;2;35;4;160;18;HetAgg
jasperreports;net.sf.jasperreports.engine.design.JasperDesign;1;0;1;0;3;0;33;127;2;98;2;533;104;HetAgg
jasperreports;net.sf.jasperreports.engine.design.JRClassGenerator;1;0;1;1;3;1;10;79;1;67;3;463;19;HetAgg
jasperreports;net.sf.jasperreports.engine.design.JRDesignDataset;1;0;1;0;7;0;32;110;2;89;3;560;61;HetAgg
jasperreports;net.sf.jasperreports.engine.design.JRDesignExpression;0;1;1;1;6;1;7;38;2;28;7;163;16;HetAgg
jasperreports;net.sf.jasperreports.engine.design.JRDesignImage;1;1;0;0;0;0;29;155;4;112;2;568;132;HetAgg
jasperreports;net.sf.jasperreports.engine.design.JRDesignQuery;0;1;1;0;4;0;9;21;2;19;2;104;16;HetAgg
jasperreports;net.sf.jasperreports.engine.design.JRDesignTextElement;1;1;1;0;1;0;21;162;3;118;1;553;142;HetAgg
jasperreports;net.sf.jasperreports.engine.design.JRJdtCompiler;1;0;1;0;2;0;24;37;3;43;3;358;13;HetAgg
jasperreports;net.sf.jasperreports.engine.design.JRVerifier;1;0;1;1;59;3;100;634;1;357;8;1849;92;HetAgg
jasperreports;net.sf.jasperreports.engine.export.JExcelApiExporter;1;1;1;1;10;2;76;244;4;184;5;1147;47;HetAgg
jasperreports;net.sf.jasperreports.engine.export.JRGridLayout;1;0;1;0;5;0;19;144;1;88;4;459;27;HetAgg
