sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;tcc;loc;nom;classification
dbeaver;org.jkiss.dbeaver.model.sql.format.tokenized.SQLTokensParser;1;0;0;1;0;1;8;99;1;35;4;0.0;261;8;HetAgg
dbeaver;org.jkiss.dbeaver.model.sql.parser.rules.SQLDelimiterSetRule;0;0;1;1;1;1;6;23;1;13;3;0.0;59;2;HetAgg
dbeaver;org.jkiss.dbeaver.registry.DataSourceDescriptor;1;0;1;1;2;2;87;278;1;216;7;0.0;1026;115;HetAgg
dbeaver;org.jkiss.dbeaver.registry.DataSourceProviderDescriptor;1;0;0;1;0;1;28;110;2;75;5;0.0;424;37;HetAgg
dbeaver;org.jkiss.dbeaver.registry.DataSourceProviderRegistry;1;0;0;1;0;1;35;107;1;109;4;0.0;457;28;HetAgg
dbeaver;org.jkiss.dbeaver.registry.DataSourceSerializerModern;1;0;1;1;2;3;57;173;1;346;7;0.0;811;16;HetAgg
dbeaver;org.jkiss.dbeaver.registry.driver.DriverDescriptor;1;0;0;1;0;1;50;255;2;154;6;0.0;981;134;HetAgg
dbeaver;org.jkiss.dbeaver.registry.maven.MavenArtifactVersion;1;0;1;1;2;2;23;123;1;88;6;0.0;425;32;HetAgg
dbeaver;org.jkiss.dbeaver.registry.maven.versioning.VersionRange;0;0;1;1;2;2;5;95;1;35;5;0.0;299;15;HetAgg
dbeaver;org.jkiss.dbeaver.tasks.ui.sql.SQLToolTaskWizardPageSettings;0;0;1;1;1;1;46;23;4;61;2;0.0;212;11;HetAgg
dbeaver;org.jkiss.dbeaver.tasks.ui.wizard.TaskConfigurationWizardPageTask;1;0;0;1;0;1;45;61;4;94;3;0.0;264;16;HetAgg
dbeaver;org.jkiss.dbeaver.tasks.ui.DataSourceToolsContributor;0;0;1;1;1;1;47;41;7;52;7;NaN;196;5;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.CustomFormEditor;1;0;0;1;0;3;38;100;1;102;6;0.0;333;16;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.CustomSashForm;1;0;0;1;0;3;24;129;6;51;5;0.0;674;41;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.finder.AdvancedList;1;0;0;1;0;1;39;76;6;63;3;0.0;350;30;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.ObjectViewerRenderer;1;0;0;1;0;1;41;45;2;58;5;0.0;271;18;HetAgg
dbeaver;org.jkiss.dbeaver.ui.properties.PropertyTreeViewer;1;0;1;1;1;3;69;126;14;121;7;0.0;925;39;HetAgg
dbeaver;org.jkiss.dbeaver.ui.UIUtils;1;0;0;1;0;1;134;420;1;327;6;0.0;1638;170;HetAgg
dbeaver;org.jkiss.dbeaver.ui.app.standalone.DBeaverApplication;1;1;0;1;0;1;48;107;3;112;5;0.0;464;33;HetAgg
dbeaver;org.jkiss.dbeaver.ui.app.standalone.DBeaverSettingsImporter;1;0;0;1;0;2;29;64;1;68;6;0.0;334;8;HetAgg
dbeaver;org.jkiss.dbeaver.ui.dashboard.histogram.DashboardRendererTimeseries;0;0;1;1;1;2;42;54;2;96;6;0.0;228;6;HetAgg
dbeaver;org.jkiss.dbeaver.ui.dashboard.registry.DashboardDescriptor;1;0;1;0;1;0;29;81;3;56;5;0.0;421;51;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.object.struct.EditForeignKeyPage;1;0;0;1;0;4;75;165;4;162;8;0.0;811;37;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.text.FileRefDocumentProvider;0;1;0;1;0;2;34;58;4;77;4;0.0;423;18;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.text.handlers.MorphDelimitedListHandler;0;1;0;1;0;1;22;26;6;36;5;NaN;248;2;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.lightgrid.LightGrid;1;0;1;0;2;0;63;830;9;290;6;0.0;2993;169;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.ResultSetModel;1;0;1;0;2;0;53;276;1;182;8;0.0;863;64;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.resultset.ResultSetViewer;1;0;1;0;2;0;238;788;49;652;8;0.0;3526;186;HetAgg
dbeaver;org.jkiss.dbeaver.ui.data.editors.ContentPanelEditor;1;0;1;0;1;0;48;58;15;59;4;0.0;379;17;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.binary.ActionHistory;1;0;1;0;1;0;5;82;1;44;2;0.0;237;25;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.binary.BinaryContent;0;0;1;1;2;2;6;201;1;99;4;0.0;612;45;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.binary.BinaryEditor;0;0;1;1;1;1;50;52;7;70;2;0.0;288;20;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.binary.HexEditControl;1;0;1;1;1;2;61;306;8;219;4;0.0;1369;79;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.binary.pref.HexPreferencesManager;1;0;0;1;0;1;20;64;1;72;4;0.0;312;18;HetAgg
dbeaver;org.jkiss.dbeaver.ui.controls.querylog.QueryLogViewer;1;0;0;1;0;1;94;124;12;171;5;0.0;992;34;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.sql.execute.SQLQueryJob;1;0;0;1;0;3;59;163;5;139;7;0.0;641;26;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.sql.SQLEditor;1;0;0;1;0;5;196;522;32;444;6;0.0;3138;102;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.sql.syntax.SQLReconcilingStrategy;0;0;1;1;2;1;24;58;5;71;3;0.0;269;17;HetAgg
dbeaver;org.jkiss.dbeaver.ui.editors.sql.util.SQLSymbolInserter;1;0;0;1;0;1;35;68;2;55;4;0.0;316;14;HetAgg
dbeaver;org.jkiss.dbeaver.ui.search.data.SearchDataPage;0;1;1;0;1;0;34;34;3;63;3;0.0;218;10;HetAgg
dbeaver;org.jkiss.dbeaver.ui.search.metadata.SearchMetadataPage;0;1;1;1;2;1;56;63;3;112;10;0.0;370;12;HetAgg
fastjson;com.alibaba.fastjson.JSON;1;0;1;0;1;0;33;226;1;133;4;0.0;863;91;HetAgg
fastjson;com.alibaba.fastjson.JSONPath;1;0;1;0;1;0;35;409;15;129;6;0.0;3522;61;HetAgg
fastjson;com.alibaba.fastjson.parser.DefaultJSONParser;1;0;1;0;3;0;33;398;1;129;7;0.0;1515;65;HetAgg
fastjson;com.alibaba.fastjson.parser.deserializer.AbstractDateDeserializer;0;1;0;1;0;1;11;37;2;31;6;0.0;158;3;HetAgg
fastjson;com.alibaba.fastjson.parser.deserializer.ASMDeserializerFactory;1;0;1;0;2;0;28;157;1;75;4;0.0;1544;24;HetAgg
fastjson;com.alibaba.fastjson.parser.deserializer.JavaBeanDeserializer;1;0;1;0;1;0;30;484;1;195;11;0.0;1546;27;HetAgg
fastjson;com.alibaba.fastjson.parser.deserializer.Jdk8DateCodec;0;1;1;1;1;1;16;79;2;69;5;0.0;310;9;HetAgg
fastjson;com.alibaba.fastjson.parser.deserializer.MapDeserializer;0;1;1;0;2;0;15;89;2;62;6;0.0;333;9;HetAgg
fastjson;com.alibaba.fastjson.parser.ParserConfig;1;0;1;0;1;0;44;321;1;121;5;0.0;997;48;HetAgg
fastjson;com.alibaba.fastjson.serializer.JSONSerializer;1;0;1;0;1;0;11;106;2;49;4;0.0;338;44;HetAgg
fastjson;com.alibaba.fastjson.serializer.SerializeWriter;1;0;1;0;1;0;8;579;2;77;6;0.0;2022;75;HetAgg
fastjson;com.alibaba.fastjson.util.TypeUtils;1;0;1;0;1;0;34;951;1;303;7;0.0;2810;99;HetAgg
gson;com.google.gson.Gson;1;0;1;1;2;1;28;76;2;77;3;0.0;509;37;HetAgg
gson;com.google.gson.internal.LinkedHashTreeMap;1;0;1;1;3;2;6;101;6;29;3;0.0;582;24;HetAgg
gson;com.google.gson.internal.LinkedTreeMap;0;0;1;1;2;2;4;86;6;19;3;0.0;428;21;HetAgg
libgdx;com.badlogic.gdx.backends.headless.HeadlessApplication;1;0;1;0;2;0;25;48;1;39;4;0.0;193;31;HetAgg
